Date,Gold,Copper,Silver,GCR,GSR,Gold_Z_Score,Copper_Z_Score,Silver_Z_Score,GCR_Z_Score,GSR_Z_Score,Corr_Gold_Copper,Corr_Gold_Silver,Corr_Gold_GCR,Corr_Gold_GSR
2016-06-07,1244.4,2.051,16.377,606.7284,75.9846,1.2418,-1.0643,1.2055,1.7099,-0.1058,0.0622,0.7538,0.4175,-0.512
2016-06-08,1259.8,2.0625,16.968,610.8121,74.2456,1.4595,-0.9998,1.8143,1.7761,-0.7827,0.0496,0.7606,0.4256,-0.5208
2016-06-09,1270.2,2.04,17.253,622.647,73.622,1.6005,-1.1238,2.0915,1.9914,-1.023,0.0332,0.7637,0.4348,-0.522
2016-06-10,1273.4,2.0315,17.315,626.8274,73.5432,1.6336,-1.1684,2.1331,2.0524,-1.0523,0.0151,0.767,0.4455,-0.5224
2016-06-13,1284.4,2.0575,17.428,624.2528,73.6975,1.7773,-1.0192,2.2224,1.9828,-0.9901,-0.0408,0.785,0.4957,-0.5489
2016-06-14,1285.6,2.0445,17.41,628.809,73.8426,1.778,-1.0896,2.1806,2.0497,-0.9341,-0.0842,0.7981,0.5351,-0.5655
2016-06-15,1285.8,2.0935,17.489,614.1868,73.5205,1.7641,-0.8025,2.2342,1.7487,-1.0576,-0.0954,0.8052,0.5575,-0.5731
2016-06-16,1296.1,2.05,17.594,632.2439,73.6672,1.8917,-1.0507,2.3102,2.0766,-1.0004,-0.1325,0.8139,0.5961,-0.5804
2016-06-17,1292.5,2.0525,17.4,629.7199,74.2816,1.824,-1.0318,2.0967,2.0051,-0.762,-0.14,0.8124,0.6063,-0.5685
2016-06-20,1290.0,2.0935,17.503,616.193,73.7017,1.7733,-0.7841,2.1751,1.7274,-0.9842,-0.1285,0.8117,0.6057,-0.5586
2016-06-21,1270.5,2.1165,17.311,600.2835,73.3926,1.4872,-0.6414,1.9697,1.4102,-1.1039,-0.099,0.8073,0.5924,-0.5459
2016-06-22,1268.0,2.1355,17.305,593.772,73.2736,1.441,-0.5215,1.9437,1.2759,-1.1454,-0.0851,0.8121,0.5875,-0.5466
2016-06-23,1261.2,2.1635,17.348,582.9443,72.7,1.3363,-0.344,1.9653,1.0603,-1.3619,-0.0676,0.8083,0.5754,-0.5329
2016-06-24,1320.0,2.112,17.785,625.0,74.2198,2.1276,-0.657,2.3517,1.8546,-0.7765,-0.0639,0.8107,0.5918,-0.5111
2016-06-27,1322.5,2.1265,17.74,621.914,74.549,2.1342,-0.5613,2.2782,1.7799,-0.6496,-0.0511,0.8085,0.598,-0.4709
2016-06-28,1315.3,2.17,17.839,606.129,73.7317,2.012,-0.2781,2.3376,1.4651,-0.9608,-0.0236,0.8111,0.5869,-0.4391
2016-06-29,1323.9,2.1835,18.362,606.3201,72.1,2.1016,-0.1827,2.7701,1.458,-1.5763,0.0108,0.8304,0.577,-0.4442
2016-06-30,1318.4,2.1945,18.582,600.7747,70.9504,2.0034,-0.1011,2.9102,1.3418,-1.9948,0.0468,0.845,0.5595,-0.451
2016-07-01,1336.7,2.215,19.544,603.4763,68.3944,2.2162,0.0463,3.6595,1.3846,-2.9076,0.083,0.8724,0.5536,-0.5241
2016-07-05,1356.4,2.1815,19.866,621.774,68.2775,2.4373,-0.1711,3.8119,1.7226,-2.8943,0.1039,0.9027,0.5702,-0.616
2016-07-06,1364.9,2.1515,20.16,634.3946,67.7034,2.5054,-0.3687,3.919,1.9446,-3.035,0.1061,0.9232,0.6015,-0.6971
2016-07-07,1360.1,2.1225,19.798,640.8009,68.6989,2.4052,-0.5608,3.5158,2.0442,-2.6273,0.094,0.9364,0.631,-0.7461
2016-07-08,1356.6,2.1185,20.058,640.3587,67.6339,2.3252,-0.5829,3.6115,2.0147,-2.9432,0.0871,0.9406,0.6523,-0.7713
2016-07-11,1355.0,2.147,20.264,631.1132,66.8674,2.2715,-0.3777,3.6558,1.8214,-3.1377,0.1039,0.9407,0.6569,-0.7853
2016-07-12,1334.1,2.211,20.13,603.3921,66.2742,1.9865,0.0835,3.4542,1.2849,-3.259,0.1356,0.9348,0.6434,-0.7822
2016-07-13,1342.4,2.238,20.37,599.8213,65.9008,2.0623,0.2881,3.5264,1.2082,-3.2978,0.1804,0.9314,0.6225,-0.7847
2016-07-14,1331.3,2.241,20.281,594.0652,65.6427,1.9037,0.3217,3.3686,1.0906,-3.2948,0.2237,0.9266,0.6065,-0.7835
2016-07-15,1326.5,2.2305,20.125,594.7097,65.913,1.8247,0.2568,3.1785,1.0953,-3.1315,0.2657,0.9232,0.5941,-0.784
2016-07-18,1328.4,2.234,20.044,594.6285,66.2742,1.8269,0.2936,3.0512,1.0862,-2.9525,0.3153,0.9222,0.5792,-0.7887
2016-07-19,1331.5,2.2615,19.975,588.7685,66.6583,1.8435,0.5099,2.9398,0.9668,-2.7797,0.3964,0.9251,0.5432,-0.8041
2016-07-20,1318.8,2.252,19.582,585.6128,67.3476,1.6745,0.4491,2.6287,0.8994,-2.5285,0.4565,0.9259,0.5137,-0.811
2016-07-21,1330.5,2.256,19.784,589.7606,67.2513,1.7948,0.4877,2.7099,0.9734,-2.5178,0.516,0.9284,0.482,-0.8218
2016-07-22,1323.1,2.234,19.657,592.256,67.3094,1.6899,0.3255,2.5813,1.0148,-2.4623,0.554,0.9299,0.4579,-0.8294
2016-07-25,1319.3,2.216,19.615,595.352,67.2598,1.6294,0.1932,2.5117,1.0681,-2.4385,0.5807,0.9298,0.4472,-0.8316
2016-07-26,1320.7,2.225,19.655,593.573,67.1941,1.63,0.2672,2.495,1.0255,-2.4197,0.6074,0.9293,0.455,-0.8317
2016-07-27,1326.6,2.185,19.965,607.1396,66.4463,1.6824,-0.0355,2.6409,1.2839,-2.5891,0.626,0.9297,0.473,-0.8341
2016-07-28,1332.3,2.206,20.16,603.9438,66.0863,1.7313,0.1347,2.7095,1.2129,-2.6449,0.6404,0.9308,0.4759,-0.8382
2016-07-29,1349.0,2.2205,20.312,607.5208,66.4139,1.9047,0.2542,2.7484,1.2751,-2.5136,0.6602,0.9329,0.4706,-0.8433
2016-08-01,1351.4,2.1965,20.465,615.2515,66.0347,1.9109,0.0714,2.7846,1.4182,-2.5749,0.6701,0.9349,0.4729,-0.8483
2016-08-02,1364.4,2.2065,20.666,618.3549,66.0215,2.0363,0.1551,2.8452,1.4688,-2.5356,0.6782,0.9391,0.4816,-0.8569
2016-08-03,1356.1,2.196,20.436,617.5318,66.3584,1.9194,0.0777,2.6617,1.4421,-2.4077,0.682,0.9407,0.4873,-0.8604
2016-08-04,1358.8,2.174,20.406,625.023,66.5883,1.9286,-0.0916,2.598,1.5793,-2.3134,0.6793,0.9421,0.5017,-0.8633
2016-08-05,1336.4,2.153,19.78,620.7153,67.5632,1.658,-0.2536,2.2106,1.4824,-2.0339,0.6765,0.9427,0.509,-0.8647
2016-08-08,1333.4,2.164,19.768,616.1738,67.4525,1.6087,-0.1605,2.1735,1.3816,-2.0396,0.6747,0.9431,0.5183,-0.8654
2016-08-09,1339.0,2.1495,19.814,622.9356,67.5785,1.6555,-0.2703,2.1689,1.5062,-1.989,0.6699,0.9437,0.5308,-0.8665
2016-08-10,1344.3,2.1705,20.134,619.3504,66.7677,1.6978,-0.0957,2.3108,1.4234,-2.1726,0.6684,0.9445,0.5388,-0.8682
2016-08-11,1342.5,2.19,19.984,613.0137,67.1787,1.6607,0.0679,2.1976,1.2868,-2.0473,0.6697,0.9452,0.5429,-0.8696
2016-08-12,1335.8,2.1405,19.672,624.0598,67.9036,1.5707,-0.3286,2.0032,1.4965,-1.8489,0.6633,0.9457,0.5531,-0.8703
2016-08-15,1340.3,2.1515,19.821,622.9608,67.6202,1.6051,-0.2329,2.0566,1.4633,-1.9017,0.6534,0.9454,0.5643,-0.8693
2016-08-16,1350.5,2.172,19.848,621.7772,68.0421,1.7005,-0.0598,2.0446,1.4282,-1.7811,0.6446,0.9447,0.577,-0.8667
2016-08-17,1342.7,2.152,19.627,623.9312,68.4109,1.5988,-0.22,1.905,1.459,-1.6733,0.6315,0.9437,0.5894,-0.8637
2016-08-18,1351.2,2.167,19.72,623.5348,68.5193,1.675,-0.0927,1.9306,1.4386,-1.6323,0.6173,0.9411,0.589,-0.8576
2016-08-19,1340.4,2.1665,19.301,618.6937,69.4472,1.542,-0.092,1.6944,1.3306,-1.3949,0.6151,0.938,0.5698,-0.8516
2016-08-22,1337.7,2.14,18.843,625.0934,70.9919,1.4986,-0.3064,1.4438,1.4455,-1.0113,0.6104,0.9334,0.545,-0.8442
2016-08-23,1340.6,2.115,18.91,633.8534,70.8937,1.5158,-0.509,1.4649,1.6044,-1.0271,0.606,0.9287,0.5066,-0.8381
2016-08-24,1324.4,2.076,18.545,637.9576,71.4155,1.3292,-0.8258,1.2661,1.6701,-0.8933,0.5924,0.9222,0.4573,-0.8268
2016-08-25,1320.1,2.0755,18.478,636.0395,71.4417,1.272,-0.8237,1.2216,1.6166,-0.8798,0.5695,0.9153,0.4078,-0.8157
2016-08-26,1321.5,2.075,18.645,636.8675,70.8769,1.2763,-0.821,1.2964,1.619,-1.0095,0.5454,0.9103,0.3469,-0.8116
2016-08-29,1322.9,2.0725,18.762,638.3112,70.5095,1.2805,-0.8351,1.3447,1.6332,-1.0901,0.5407,0.9024,0.2932,-0.7974
2016-08-30,1311.7,2.069,18.577,633.9777,70.6088,1.151,-0.8574,1.2396,1.5349,-1.0578,0.5485,0.894,0.2272,-0.7822
2016-08-31,1306.9,2.0695,18.622,631.5052,70.1804,1.091,-0.8463,1.2521,1.4734,-1.1523,0.524,0.883,0.2024,-0.7613
2016-09-01,1312.2,2.0685,18.857,634.3727,69.5869,1.1384,-0.8478,1.36,1.5171,-1.2852,0.502,0.8747,0.187,-0.7475
2016-09-02,1322.1,2.0715,19.276,638.2331,68.5879,1.2338,-0.8166,1.558,1.5812,-1.5124,0.4645,0.8668,0.2035,-0.7349
2016-09-06,1349.4,2.084,20.049,647.5048,67.3051,1.5107,-0.7048,1.9268,1.7476,-1.8007,0.398,0.8604,0.2579,-0.7248
2016-09-07,1344.3,2.093,19.759,642.2838,68.0348,1.4435,-0.6232,1.7617,1.6345,-1.6106,0.351,0.8531,0.2912,-0.7114
2016-09-08,1336.8,2.096,19.591,637.7863,68.2354,1.3525,-0.592,1.6606,1.5381,-1.5486,0.3031,0.8444,0.3262,-0.6954
2016-09-09,1330.1,2.0885,19.282,636.8685,68.9814,1.271,-0.6519,1.4925,1.5124,-1.3607,0.2772,0.8344,0.3275,-0.6778
2016-09-12,1321.0,2.096,18.915,630.2481,69.8387,1.1654,-0.5813,1.299,1.3753,-1.1498,0.247,0.8275,0.3517,-0.6632
2016-09-13,1319.0,2.0955,18.89,629.444,69.8253,1.1352,-0.58,1.2758,1.3521,-1.1438,0.2122,0.818,0.3755,-0.6426
2016-09-14,1321.5,2.148,18.982,615.2235,69.6186,1.1524,-0.1018,1.3103,1.0616,-1.1829,0.1845,0.8055,0.3856,-0.6182
2016-09-15,1313.5,2.152,18.959,610.3625,69.2811,1.0594,-0.0554,1.288,0.9582,-1.2525,0.1614,0.7812,0.3695,-0.5803
2016-09-16,1305.8,2.1515,18.781,606.9254,69.5277,0.9703,-0.0494,1.1903,0.8833,-1.1868,0.1541,0.7501,0.336,-0.5339
2016-09-19,1313.5,2.149,19.206,611.2145,68.3901,1.0434,-0.0642,1.3875,0.965,-1.4396,0.1906,0.7042,0.2399,-0.4812
2016-09-20,1313.7,2.1555,19.195,609.4642,68.4397,1.0372,0.0062,1.3701,0.9228,-1.4168,0.179,0.7065,0.2559,-0.4673
2016-09-21,1326.9,2.145,19.686,618.6014,67.4032,1.167,-0.0881,1.5949,1.1048,-1.6397,0.1747,0.7177,0.2594,-0.467
2016-09-22,1340.4,2.1875,20.02,612.7543,66.953,1.2984,0.3243,1.7394,0.9758,-1.7248,0.1842,0.7175,0.2453,-0.4496
2016-09-23,1337.2,2.1925,19.733,609.8973,67.7647,1.2542,0.3785,1.5844,0.909,-1.525,0.1917,0.7231,0.2365,-0.4467
2016-09-26,1339.7,2.19,19.516,611.7351,68.6462,1.2697,0.3595,1.4659,0.9402,-1.3136,0.2083,0.7154,0.2182,-0.4274
2016-09-27,1325.9,2.1615,19.087,613.4166,69.4661,1.116,0.0874,1.2487,0.968,-1.1186,0.2064,0.7177,0.2247,-0.4326
2016-09-28,1319.4,2.1795,19.044,605.3682,69.2817,1.0397,0.2653,1.2179,0.7922,-1.1511,0.1915,0.7256,0.2342,-0.451
2016-09-29,1321.7,2.181,19.115,606.0064,69.1446,1.0553,0.2882,1.2417,0.7998,-1.1726,0.1973,0.727,0.2151,-0.4646
2016-09-30,1313.3,2.202,19.139,596.4124,68.6191,0.9597,0.4998,1.2429,0.5901,-1.2805,0.2047,0.7408,0.2009,-0.4918
2016-10-03,1309.0,2.1835,18.795,599.4962,69.6462,0.9075,0.3257,1.0696,0.6499,-1.0427,0.218,0.7479,0.1883,-0.5071
2016-10-04,1266.3,2.1585,17.713,586.6574,71.4899,0.4553,0.0873,0.5476,0.368,-0.6275,0.2011,0.7819,0.2622,-0.5474
2016-10-05,1265.2,2.156,17.634,586.8275,71.7478,0.4392,0.071,0.5065,0.3653,-0.5696,0.1809,0.8164,0.3369,-0.5936
2016-10-06,1249.8,2.148,17.288,581.8436,72.2929,0.2736,-0.0005,0.3386,0.2503,-0.4482,0.1576,0.8468,0.4257,-0.6349
2016-10-07,1248.9,2.1565,17.324,579.1328,72.0907,0.2601,0.0943,0.3529,0.1842,-0.493,0.1408,0.8739,0.4969,-0.6756
2016-10-11,1253.0,2.1785,17.456,575.1664,71.7805,0.2995,0.3344,0.4129,0.0892,-0.5612,0.1106,0.8934,0.5561,-0.7087
2016-10-12,1251.1,2.1695,17.455,576.6766,71.6757,0.2761,0.2552,0.4094,0.1152,-0.5827,0.0887,0.9068,0.605,-0.7314
2016-10-13,1255.0,2.115,17.41,593.3806,72.085,0.3136,-0.3135,0.3849,0.483,-0.4896,0.1083,0.9166,0.6326,-0.7522
2016-10-14,1253.1,2.1035,17.393,595.7214,72.0462,0.2906,-0.4307,0.3743,0.5296,-0.497,0.1494,0.9251,0.6491,-0.7725
2016-10-17,1254.4,2.0995,17.426,597.4756,71.9844,0.3016,-0.469,0.3876,0.5634,-0.5093,0.1749,0.9307,0.672,-0.7851
2016-10-18,1260.8,2.098,17.591,600.9533,71.673,0.3659,-0.4802,0.4635,0.6368,-0.577,0.2033,0.9356,0.685,-0.7969
2016-10-19,1267.9,2.097,17.616,604.6257,71.9743,0.437,-0.4857,0.472,0.7151,-0.5074,0.2288,0.9404,0.6918,-0.8107
2016-10-20,1265.6,2.0905,17.502,605.4054,72.3117,0.4091,-0.5549,0.4144,0.727,-0.4302,0.2564,0.9451,0.7011,-0.8244
2016-10-21,1265.9,2.0835,17.448,607.5834,72.5527,0.4083,-0.6315,0.3853,0.7715,-0.3746,0.2781,0.9505,0.7017,-0.8396
2016-10-24,1262.0,2.0875,17.562,604.5509,71.8597,0.3633,-0.5801,0.4365,0.6949,-0.5276,0.2932,0.9558,0.7104,-0.8523
2016-10-25,1271.9,2.1325,17.736,596.4361,71.7129,0.4636,-0.0319,0.5159,0.4978,-0.5584,0.2696,0.957,0.7315,-0.8542
2016-10-26,1264.8,2.1395,17.585,591.1662,71.9249,0.3847,0.0644,0.4405,0.3665,-0.5096,0.2431,0.9591,0.7471,-0.8571
2016-10-27,1267.9,2.1655,17.604,585.4999,72.0234,0.4134,0.3995,0.4462,0.2245,-0.486,0.1877,0.9592,0.7645,-0.8548
2016-10-28,1275.5,2.1885,17.762,582.8193,71.8106,0.4898,0.7051,0.5187,0.1532,-0.533,0.1323,0.9594,0.7756,-0.853
2016-10-31,1271.5,2.2005,17.762,577.8232,71.5854,0.4427,0.871,0.5145,0.0246,-0.5809,0.078,0.959,0.7803,-0.8495
2016-11-01,1286.4,2.2245,18.385,578.2873,69.9701,0.5951,1.1919,0.806,0.0279,-0.9364,0.0477,0.9586,0.7755,-0.8457
2016-11-02,1306.8,2.226,18.66,587.062,70.0322,0.8049,1.2259,0.9302,0.2363,-0.9178,0.0384,0.9591,0.7664,-0.8455
2016-11-03,1302.1,2.2445,18.383,580.1292,70.8317,0.7485,1.4834,0.792,0.0551,-0.7375,0.0283,0.9585,0.7524,-0.8421
2016-11-04,1303.3,2.261,18.342,576.4264,71.0555,0.7548,1.7137,0.7663,-0.0484,-0.6851,0.0118,0.9585,0.7376,-0.8382
2016-11-07,1278.3,2.3065,18.124,554.2164,70.5308,0.4825,2.2988,0.6568,-0.6257,-0.7977,-0.0499,0.9585,0.7319,-0.8337
2016-11-08,1273.4,2.379,18.33,535.2669,69.4708,0.4241,3.1897,0.7488,-1.1275,-1.0263,-0.1024,0.9555,0.711,-0.8167
2016-11-09,1272.6,2.459,18.357,517.5274,69.3251,0.4095,4.081,0.7552,-1.5998,-1.051,-0.1525,0.9516,0.6837,-0.7954
2016-11-10,1265.5,2.5495,18.716,496.3718,67.6159,0.3269,4.9467,0.9194,-2.1546,-1.4155,-0.2143,0.9354,0.6634,-0.7294
2016-11-14,1221.2,2.5185,16.877,484.8918,72.3588,-0.1603,4.3921,0.0349,-2.451,-0.37,-0.324,0.9375,0.6992,-0.7311
2016-11-15,1224.0,2.502,17.029,489.2086,71.8774,-0.1367,4.0498,0.1028,-2.3332,-0.4722,-0.4044,0.9376,0.7274,-0.7261
2016-11-16,1223.4,2.465,16.914,496.3083,72.3306,-0.1504,3.5359,0.0424,-2.1474,-0.3694,-0.4615,0.9401,0.7509,-0.7343
2016-11-17,1216.5,2.4875,16.761,489.0452,72.5792,-0.2336,3.6612,-0.0364,-2.3229,-0.3117,-0.5108,0.9473,0.7714,-0.7632
